label,bounding_boxes,score
person,"[485.63214111328125, 980.8142700195312, 591.40966796875, 1280.3729248046875]",0.998589813709259
person,"[358.8014221191406, 1006.45654296875, 485.045654296875, 1323.7169189453125]",0.997686505317688
motorcycle,"[681.0556030273438, 1239.6566162109375, 882.22705078125, 1556.621337890625]",0.9692361354827881
umbrella,"[393.3377990722656, 973.344482421875, 499.2194519042969, 1025.2247314453125]",0.9446211457252502
suitcase,"[648.8464965820312, 1150.0694580078125, 861.9763793945312, 1305.90869140625]",0.8912415504455566
umbrella,"[443.729736328125, 954.1160888671875, 519.31005859375, 986.2238159179688]",0.8167210221290588
