score,label,box
0.99878806,person,"[486.1338195800781, 979.7706909179688, 591.0255737304688, 1285.55615234375]"
0.9980724,person,"[357.4034118652344, 1005.0657348632812, 489.33807373046875, 1322.265869140625]"
0.9802183,motorcycle,"[679.7559204101562, 1247.1917724609375, 884.0205078125, 1560.3226318359375]"
0.97887075,suitcase,"[645.238525390625, 1152.8546142578125, 865.909912109375, 1304.7747802734375]"
0.8955274,umbrella,"[397.5390930175781, 975.439453125, 502.2593994140625, 1025.5162353515625]"
0.814307,umbrella,"[442.6182556152344, 953.3067016601562, 520.4629516601562, 986.9459228515625]"
