boxes,scores,labels
"[487.3040466308594, 982.5287475585938, 590.4357299804688, 1280.578857421875]",0.9990153312683105,person
"[350.6749267578125, 1003.4484252929688, 485.8873291015625, 1324.1937255859375]",0.9980237483978271,person
