boxes,scores,labels
"[354.8951721191406, 1003.135498046875, 489.23822021484375, 1314.313232421875]",0.9143692255020142,person
"[486.25775146484375, 983.538330078125, 590.7599487304688, 1283.1884765625]",0.8854708075523376,person
