boxes,scores,labels
"[487.6283264160156, 983.8395385742188, 587.567626953125, 1286.7261962890625]",0.9986481070518494,person
"[354.4622497558594, 1000.9998779296875, 484.4892578125, 1318.2508544921875]",0.9968840479850769,person
"[680.7882080078125, 1231.1123046875, 884.0189819335938, 1564.4993896484375]",0.9547398686408997,motorcycle
"[644.0530395507812, 1159.321533203125, 865.4574584960938, 1305.236083984375]",0.9464672207832336,suitcase
"[348.73565673828125, 946.7152709960938, 452.5024108886719, 1004.8193359375]",0.9401510953903198,umbrella
"[438.4238586425781, 951.7964477539062, 523.7734985351562, 988.8840942382812]",0.8924201130867004,umbrella
"[372.5042724609375, 953.2758178710938, 504.2651062011719, 1027.9453125]",0.874524712562561,umbrella
